schulnummer,schulname,description_generated,error,is_private_school,tuition_monthly_eur,tuition_annual_eur,registration_fee_eur,material_fee_annual_eur,meal_plan_monthly_eur,after_school_care_monthly_eur,scholarship_available,income_based_tuition,tuition_notes,tuition_source_url,sources,generated_at
10K15,15. Schule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,Public school; no tuition or fees mentioned. Potential costs for materials or trips not specified in sources.,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29854,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29854,2026-01-19T20:57:38.949721
11K16,16. Schule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,Public school; no tuition fees. Potential minor costs for materials or excursions not detailed in sources.,"https://www.11k16.schule, https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29839",https://www.11k16.schule; https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29839,2026-01-19T20:57:53.195930
11K17,17. Schule (Integrierte Sekundarschule) Neugründung zum 01.08.2026,False,No website available,False,,,,,,,,,No website available for research,,,2026-01-19T20:58:08.305236
01S06,Albert-Gutzmann-Schule,True,,False,,,,,,,False,False,"Public school (öffentlich); no tuition fees. Ganztagbetreuung provided via external partner ALBASPROSS gGmbH, but specific costs not detailed.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28906,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28906,2026-01-19T20:58:10.311145
12K11,Albrecht-Haushofer-Schule,True,,False,,,,,,,False,False,Public school (Öffentlich); no tuition fees. Standard public school costs for materials or trips may apply but not detailed in sources.,https://www.sekundarschulen-berlin.de/albrecht-haushofer-schule,https://www.sekundarschulen-berlin.de/albrecht-haushofer-schule,2026-01-19T20:58:25.346202
02K09,Albrecht-von-Graefe-Schule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,"Public school (öffentlich); no tuition fees. Potential incidental costs for materials, trips, or meals via Freizeit und Verpflegung not specified.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=29431,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=29431; https://www.albrecht-von-graefe-schule.de.[1,2026-01-19T20:58:41.020844
11K01,Alexander-Puschkin-Schule,True,,False,,,,,,,False,False,Public school; no tuition fees. Potential incidental costs for materials or meals not specified in sources.,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29339,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29339,2026-01-19T20:58:56.546521
08K11,Alfred-Nobel-Schule,True,,False,,,,,,,,,"Public school with no tuition fees. Optional costs may include materials, school trips, and cafeteria meals, but specific amounts are not publicly documented.",https://www.berlin.de/ (Berlin education authority),https://alfred-nobel-schule.de; https://www.berlin.de/,2026-01-19T20:59:10.022840
12K06,Benjamin-Franklin-Schule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,"Public school; no tuition. No specific costs for materials, meals, or after-school care found in public sources.","N/A (public school, no tuition info required or found)",https://benjamin-franklin-schule.de,2026-01-19T20:59:29.617528
03P37,Berlin Bilingual School (Integrierte Sekundarschule),True,,True,,,,,,,,,No tuition or fee details publicly available from school website or other sources.,https://www.berlin-bilingual-school.de,https://www.berlin-bilingual-school.de,2026-01-19T20:48:00.515373
04P40,Berlin British School (Integrierte Sekundarschule),True,,True,,,,,,,,,No tuition or fee information publicly available from school website or reliable sources,https://www.berlinbritishschool.de,https://www.berlinbritishschool.de,2026-01-19T20:48:15.758854
01P16,Berlin Metropolitan School (Integrierte Sekundarschule),True,,True,,,,,,,,,No tuition information publicly available from school website or Berlin education authority sources.,https://www.metropolitanschool.com; https://www.bildung.berlin.de/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29690,https://www.metropolitanschool.com; https://www.bildung.berlin.de/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29690,2026-01-19T20:59:40.076212
05K03,Bertolt-Brecht-Oberschule (Integrierte Sekundarschule),True,,False,,,,,,,,,"Public school with no tuition. Families may incur costs for materials, school trips, and meals at the school cafeteria (Mensa), which opens at 7:30 AM. Specific meal plan pricing not publicly available.",https://www.brecht-oberschule.de and https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28943,https://www.brecht-oberschule.de[1; https://www.brecht-oberschule.de; https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28943,2026-01-19T20:59:56.565238
09P09,BEST-Sabel-Oberschule,True,,True,,,,,,,,,No tuition or fee details publicly available from school website or Berlin Senatsverwaltung.,https://best-sabel.de; https://www.bildung.berlin.de/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29538,https://www.bildung.berlin.de/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29538; https://best-sabel.de,2026-01-19T21:00:20.012471
12K02,Bettina-von-Arnim-Schule,True,,False,,,,,,,False,False,"Public school (öffentlich); no tuition fees. Lunch provision available via Mensa, but specific costs not detailed.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29393,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29393,2026-01-19T21:00:34.141543
06K04,Bröndby-Schule (Integrierte Sekundarschule),True,,False,,,,,,,,,"Public school with no tuition charges. Standard costs for materials, field trips, and cafeteria meals may apply but are not specified in publicly available sources.",https://www.broendby.de,https://www.broendby.de,2026-01-19T21:00:52.368119
01P06,Canisius-Kolleg,True,,True,,,,,,,,,"No tuition details publicly available from school website, Wikipedia, or Berlin education sources.",https://canisius.de,https://canisius.de,2026-01-19T21:01:16.743737
12K09,Carl-Benz-Schule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,"Public school; no tuition fees. Incidental costs (e.g., materials, trips) not specified in sources.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29396,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29396,2026-01-19T21:01:32.332008
12K10,Carl-Bosch-Schule,True,,False,,,,,,,False,False,Public school (öffentlich); no tuition fees. Potential incidental costs for materials or activities not detailed in sources.,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29217,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29217,2026-01-19T21:01:48.140792
05K02,Carlo-Schmid-Oberschule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,Public school; no tuition fees. Cafeteria available but no meal costs specified.,https://www.carlo-schmid-oberschule.de [1]; https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29207 [5],https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29207; https://www.carlo-schmid-oberschule.de,2026-01-19T21:02:00.264952
07K02,Carl-Zeiss-Schule,True,,False,,,,,,,,,"Carl-Zeiss-Schule is a public (öffentlich) integrated secondary school in Berlin. As a public school, there is no tuition charged. However, parents may incur costs for materials, school trips, and meals in the school cafeteria (Mensa). Specific meal plan pricing is not publicly available.",https://www.bildung.berlin.de/Schulverzeichnis/SchulListe.aspx?BezNr=07,https://www.bildung.berlin.de/Schulverzeichnis/SchulListe.aspx?BezNr=07,2026-01-19T21:02:14.198679
10K07,Caspar-David-Friedrich-Schule,True,,False,,,,,,,,,"This is a public school in Berlin. Public schools in Germany do not charge tuition. Students may incur costs for materials, school trips, and optional meal plans, but these are not detailed on the school's website.",https://cdf-oberschule.de,https://cdf-oberschule.de,2026-01-19T21:02:38.819207
08K05,Clay-Schule,True,,False,,,,,,,,,"Clay-Schule is a public school (Öffentlich) in Berlin and charges no tuition. Parents may incur costs for school materials, field trips, and meals, but specific amounts are not publicly available.",https://clay-schule.de,https://clay-schule.de,2026-01-19T21:02:58.705909
02K01,Ellen-Key-Schule,True,,False,,,,,,,False,False,"Public school (öffentlich); no tuition fees. Lunch provision (Mittagessenversorgung) available via Ganztagbetrieb, but costs not specified.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28769,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28769,2026-01-19T21:03:20.748613
11K14,Elsa-Neumann-Schule (Integrierte Sekundarschule),True,,False,,,,,,,,,Public school; no tuition fees mentioned. Potential costs for materials or trips not detailed in sources.,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29806,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29806; https://elsa-neumann-schule.de,2026-01-19T21:03:40.280962
04S05,Ernst-Adolf-Eschke-Schule für Gehörlose,True,,False,,,,,,,False,False,Public school; no tuition or fees documented in sources.,https://de.wikipedia.org/wiki/Ernst-Adolf-Eschke-Schule,https://de.wikipedia.org/wiki/Ernst-Adolf-Eschke-Schule,2026-01-19T21:04:00.289401
10K02,Ernst-Haeckel-Schule,True,,False,,,,,,,False,False,"Public school (Öffentlich); no tuition fees. No details on materials, trips, or other costs publicly available.",https://www.haeckel-os.de; https://www.bildung.berlin.de/schulverzeichnis/SchulListe.aspx?BezNr=10&BezText=Marzahn-Hellersdorf,https://www.haeckel-os.de; https://www.bildung.berlin.de/schulverzeichnis/SchulListe.aspx?BezNr=10&BezText=Marzahn-Hellersdorf,2026-01-19T21:04:13.391209
01K03,Ernst-Reuter-Schule,True,,False,,,,,,,False,False,Public school (öffentlich); no tuition fees. Potential costs for materials or trips not specified in sources.,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29054,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29054; https://ernst-reuter-schule.berlin,2026-01-19T21:04:28.293725
01K02,Ernst-Schering-Schule,True,,False,,,,,,,,,"Ernst-Schering-Schule is a public school (öffentliche Schule) in Berlin and does not charge tuition. As a public ISS, it is funded by the Berlin Senate. Students may incur costs for school materials, field trips, and meals purchased at the school mensa, but these are not standardized fees.",https://ernst-schering-schule.de,https://ernst-schering-schule.de,2026-01-19T21:04:39.961511
04P05,Evangelische Schule Charlottenburg (Integrierte Sekundarschule),True,,True,,,,,,,,,No specific tuition or fee details publicly available from school website or Berlin education authority; similar evangelical schools mention income-dependent fees but not confirmed here.,https://www.ev-schule-charlottenburg.de,https://www.ev-schule-charlottenburg.de,2026-01-19T21:05:00.491556
08P03,Evangelische Schule Neukölln (Integrierte Sekundarschule),True,,True,,,,,,,,True,Income-dependent school fees (einkommensabhängiges Schulgeld) are charged; specific amounts and further details available on the Schulstiftung homepage.,https://evangelische-schule-neukoelln.de,https://evangelische-schule-neukoelln.de,2026-01-19T21:05:11.996051
05P03,Evangelische Schule Spandau im Johannesstift,True,,True,,,,,,,,,No tuition or fee information publicly available from school website or Berlin education authority.,https://www.ev-schule-spandau.de; https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29588,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29588; https://www.ev-schule-spandau.de,2026-01-19T21:05:28.856710
06P12,Evangelische Schule Steglitz (Integrierte Sekundarschule),True,,True,,,,,,,,,"No tuition details publicly available from school website or Berlin education authority; as a private state-recognized ISS, fees likely apply but not specified.",https://www.ev-schule-steglitz.de; https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28570,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28570; https://www.ev-schule-steglitz.de,2026-01-19T21:05:43.232326
02K10,Ferdinand-Freiligrath-Schule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,Public school (öffentlich); no tuition fees. Possible incidental costs for materials or excursions not detailed in sources.,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=28765,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=28765,2026-01-19T21:05:59.789957
09A07,Flatow-Oberschule,True,,False,,,,,,,,,"Flatow-Oberschule is a public school (öffentlich) funded by the Berlin state government. No tuition fees are charged. Students may incur costs for materials, field trips, and optional meal plans at the school cafeteria, but these are not detailed in publicly available sources.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29106,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29106,2026-01-19T21:06:19.141226
10P12,Freie Schule Berlin Mahlsdorf,True,,True,,,,,,,,,No tuition or fee information publicly available from school website or Berlin education authority sources.,https://freieschule-mahlsdorf.de,https://freieschule-mahlsdorf.de,2026-01-19T21:06:41.193562
04P15,Freie Schule Charlottenburg,True,,True,,,,,,,,,No tuition or fee information publicly available from school website or Berlin education authority sources,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28984,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28984,2026-01-19T21:06:53.005593
03P13,Freie Schule Pankow (Integrierte Sekundarschule),True,,True,,,,,,,,,No tuition details publicly available from searched sources.,https://www.betterplace.org/en/organisations/38165-freie-schule-pankow-eg,https://www.betterplace.org/en/organisations/38165-freie-schule-pankow-eg,2026-01-19T21:07:02.243027
04K02,Friedensburg-Schule,True,,False,,,,,,,,,"Public school with no tuition; optional monthly fee for instrument lessons (amount unspecified), supported by Markstein Foundation aid.",https://www.fosberlin.eu,https://www.fosberlin.eu,2026-01-19T21:07:15.455898
07K10,Friedrich-Bergius-Schule,True,,False,,,,,,,,,"Friedrich-Bergius-Schule is a public school (Integrierte Sekundarschule) operated by the Berlin education authority. No tuition is charged. Parents may incur costs for school materials, field trips, and optional all-day care (Offene Ganztagbetreuung). Specific costs for these services are not publicly available.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28529,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28529,2026-01-19T21:07:27.234711
09K03,Fritz-Kühn-Schule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,Public school; no tuition fees. Lunch provision available but costs not specified.,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28656,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28656,2026-01-19T21:07:50.390695
11K05,Fritz-Reuter-Schule,True,,False,,,,,,,False,False,Public school; parents responsible for book/material costs (eigenanteil) unless exempted by state benefits (Leistungsbescheid). No tuition fees.,https://www.fritz-reuter-oberschule.de/unsere-schule/schulleitung/d-5/,https://www.fritz-reuter-oberschule.de/unsere-schule/schulleitung/d-5/; https://www.fritz-reuter-oberschule.de,2026-01-19T21:08:07.186878
06K09,Gail-S.-Halvorsen-Integrierte Sekundarschule,True,,False,,,,,,,,,"Public school with no tuition fees. Families may incur costs for school materials, cafeteria meals, field trips, and technology fees for laptop classes, but specific amounts are not publicly available.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28472,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28472,2026-01-19T21:29:13.500205
10K06,Georg-Klingenberg-Schule,True,,False,,,,,,,,,"As a public school (öffentlich) operated by Berlin's education authority, Georg-Klingenberg-Schule charges no tuition. Families may incur costs for school materials, field trips, and optional meal services through Sunshine Catering, but specific amounts are not publicly documented.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29410,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29410,2026-01-19T21:29:34.301240
07K06,Georg-von-Giesche-Schule,True,,False,,,,,,,False,False,Public school (öffentlich); no tuition or fees detailed in sources.,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28530,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28530,2026-01-19T21:29:53.156512
02K07,Georg-Weerth-Schule,True,,False,,,,,,,,,"Georg-Weerth-Schule is a public school (öffentlich) in Berlin. Public schools in Berlin do not charge tuition. However, families may incur costs for materials, field trips, and optional programs.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28950,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28950,2026-01-19T21:30:03.604400
03K04,Gustave-Eiffel-Schule,True,,False,,,,,,,,,"As a public school in Berlin, Gustave-Eiffel-Schule is tuition-free. Parents may incur costs for materials, field trips, and optional meal plans through the school cafeteria, but these are not detailed in publicly available sources.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29211,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29211,2026-01-19T21:30:24.796717
12K05,Gustav-Freytag-Schule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,Public school; parents may pay for books as self-payers (Bücherlisten für die SelbstzahlerInnen). No other fees mentioned.,https://www.gustav-freytag-schule.berlin,https://www.gustav-freytag-schule.berlin,2026-01-19T21:30:46.509408
07K03,Gustav-Heinemann-Oberschule,True,,False,,,,,,,,,"Gustav-Heinemann-Oberschule is a public school in Berlin's Tempelhof-Schöneberg district. As a public school, there is no tuition charged. However, parents may incur costs for materials, school trips, and optional programs such as international exchanges.",https://gho.berlin,https://gho.berlin,2026-01-19T21:31:03.190930
07K09,Gustav-Langenscheidt-Schule,True,,False,,,,,,,False,False,Public school (öffentlich); no tuition or fees mentioned. Ganztag programs are free and open to all students.,https://gustav-langenscheidt-schule.de,https://gustav-langenscheidt-schule.de,2026-01-19T21:31:24.441419
11K04,Gutenberg-Schule,True,,False,,,,,,,False,False,Public school (öffentlich); no tuition fees mentioned. Potential costs for materials or trips not detailed in sources.,https://www.gutenberg-oberschule-berlin.de,https://www.gutenberg-oberschule-berlin.de,2026-01-19T21:31:41.285176
03K08,Hagenbeck-Schule,True,,False,,,,,,,False,False,Public school (öffentlich); no tuition fees. Potential minor costs for materials or trips not specified in sources.,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29131,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+29131,2026-01-19T21:31:54.002402
09K06,Hans-Grade-Schule (Integrierte Sekundarschule),True,,False,,,,,,,,,"Hans-Grade-Schule is a public school in Berlin with no tuition charges. Parents may incur costs for school materials, field trips, and optional cafeteria meals.",https://www.berlin.de/ba-treptow-koepenick/_assets/aemter-und-se/schul-und-sportamt/schule/pdf/schulbroschuere-2025-interaktiv.pdf,https://hans-grade-schule.de; https://www.berlin.de/ba-treptow-koepenick/_assets/aemter-und-se/schul-und-sportamt/schule/pdf/schulbroschuere-2025-interaktiv.pdf,2026-01-19T21:32:02.993211
02K03,Hector-Peterson-Schule,True,,False,,,,,,,,,"Public school (öffentlich) - no tuition fees. Standard German public school costs may apply for materials, field trips, and meals.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=29122,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=29122,2026-01-19T21:32:19.006382
01K09,Hedwig-Dohm-Schule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,Public school (Öffentlich); no tuition fees. No details on optional costs like materials or trips found.,https://hedwig-dohm-os.de (school website); https://www.berlin.de/sen/bildung/schule/bildungswege/uebergang-weiterfuehrende-schule/verzeichnis-weiterfuehrende-schulen.pdf (Senatsverwaltung listing),https://www.berlin.de/sen/bildung/schule/bildungswege/uebergang-weiterfuehrende-schule/verzeichnis-weiterfuehrende-schulen.pdf; https://hedwig-dohm-os.de,2026-01-19T21:32:37.790761
05K04,Heinrich-Böll-Oberschule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,Public school (öffentlich); no tuition fees mentioned. Potential costs for materials or trips not detailed in sources.,"https://boell-schule.de, https://www.berlin.de/ba-spandau/politik-und-verwaltung/aemter/schul-und-sportamt/schule/artikel.685232.php",https://boell-schule.de; https://www.berlin.de/ba-spandau/politik-und-verwaltung/aemter/schul-und-sportamt/schule/artikel.685232.php,2026-01-19T21:32:54.851383
08K04,Heinrich-Mann-Schule,True,,False,,,,,,,False,False,Public school (öffentlich); no tuition fees. School catering (Schulverpflegung) mentioned but costs not specified.,https://heinrichmannschule.de,https://heinrichmannschule.de,2026-01-19T21:33:10.672980
03K05,Heinz-Brandt-Schule,True,,False,,,,,,,False,False,Public school; parents finance tablets (amount unspecified). No other fees detailed.,https://www.heinz-brandt-schule.de/post/sch%C3%BCler-werden-aufnahme-in-klasse-7-2025-26,https://www.heinz-brandt-schule.de/post/sch%C3%BCler-werden-aufnahme-in-klasse-7-2025-26,2026-01-19T21:33:21.941024
06K10,Helene-Lange-Schule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,Public school (Öffentlich); no tuition fees. Potential costs for materials or trips not specified in sources.,https://www.helene-lange-schule-steglitz.de,https://www.helene-lange-schule-steglitz.de,2026-01-19T21:33:36.459027
01K07,Hemingway-Schule,True,,False,,,,,,,,,"Hemingway-Schule is a public school (öffentlich) and charges no tuition. Parents may incur costs for materials, school trips, and optional services, but specific fee structures are not publicly documented.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28836,https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28836,2026-01-19T21:33:47.142918
01K06,Herbert-Hoover-Schule (Integrierte Sekundarschule),True,,False,,,,,,,False,False,"Public school (öffentlich); no tuition fees. Mensa via Schülerfirma (student-run, costs not specified). Potential minor costs for materials/trips not detailed in sources.",https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28940,https://www.hhs-berlin.de; https://www.bildung.berlin.de/Schulverzeichnis/Schulportrait.aspx?IDSchulzweig=+28940,2026-01-19T21:34:02.705317
