stadtteil,straftaten_insgesamt_2023,straftaten_insgesamt_2024,straftaten_insgesamt_yoy_pct,raub_2023,raub_2024,raub_yoy_pct,strassenraub_2023,strassenraub_2024,strassenraub_yoy_pct,koerperverletzung_2023,koerperverletzung_2024,koerperverletzung_yoy_pct,gefaehrliche_koerperverletzung_2023,gefaehrliche_koerperverletzung_2024,gefaehrliche_koerperverletzung_yoy_pct,gewaltkriminalitaet_2023,gewaltkriminalitaet_2024,gewaltkriminalitaet_yoy_pct,diebstahl_insgesamt_2023,diebstahl_insgesamt_2024,diebstahl_insgesamt_yoy_pct,wohnungseinbruch_2023,wohnungseinbruch_2024,wohnungseinbruch_yoy_pct,kfz_diebstahl_2023,kfz_diebstahl_2024,kfz_diebstahl_yoy_pct,diebstahl_an_kfz_2023,diebstahl_an_kfz_2024,diebstahl_an_kfz_yoy_pct,fahrraddiebstahl_2023,fahrraddiebstahl_2024,fahrraddiebstahl_yoy_pct,ladendiebstahl_2023,ladendiebstahl_2024,ladendiebstahl_yoy_pct,taschendiebstahl_2023,taschendiebstahl_2024,taschendiebstahl_yoy_pct,sachbeschaedigung_2023,sachbeschaedigung_2024,sachbeschaedigung_yoy_pct,strassenkriminalitaet_2023,strassenkriminalitaet_2024,strassenkriminalitaet_yoy_pct,rauschgift_2023,rauschgift_2024,rauschgift_yoy_pct
Hamburg unbekannt,8018.0,9096.0,13.4,34.0,17.0,-50.0,11.0,13.0,18.2,127.0,146.0,15.0,32.0,48.0,50.0,92.0,97.0,5.4,2198.0,2468.0,12.3,4.0,3.0,-25.0,9.0,12.0,33.3,135.0,108.0,-20.0,47.0,61.0,29.8,72.0,48.0,-33.3,651.0,845.0,29.8,109.0,144.0,32.1,135.0,136.0,0.7,288.0,232.0,-19.4
Tatort unbekannt,5787.0,5361.0,-7.4,1.0,1.0,0.0,0.0,0.0,,21.0,15.0,-28.6,5.0,6.0,20.0,12.0,13.0,8.3,218.0,330.0,51.4,0.0,0.0,,2.0,2.0,0.0,19.0,23.0,21.1,3.0,6.0,100.0,4.0,3.0,-25.0,39.0,63.0,61.5,61.0,52.0,-14.8,54.0,102.0,88.9,21.0,24.0,14.3
Hamburg insgesamt,234241.0,224913.0,-4.0,2174.0,2353.0,8.2,1137.0,1426.0,25.4,22950.0,23174.0,1.0,5872.0,6293.0,7.2,8394.0,8998.0,7.2,98773.0,92910.0,-5.9,3080.0,3008.0,-2.3,1582.0,1717.0,8.5,12873.0,12096.0,-6.0,13519.0,11438.0,-15.4,20074.0,17920.0,-10.7,13367.0,12993.0,-2.8,17406.0,16813.0,-3.4,8495.0,9291.0,9.4,17022.0,11313.0,-33.5
Altstadt,9747.0,7737.0,-20.6,70.0,89.0,27.1,33.0,37.0,12.1,437.0,405.0,-7.3,130.0,113.0,-13.1,205.0,203.0,-1.0,6067.0,4974.0,-18.0,3.0,6.0,100.0,28.0,13.0,-53.6,506.0,374.0,-26.1,394.0,291.0,-26.1,2814.0,2411.0,-14.3,691.0,496.0,-28.2,239.0,213.0,-10.9,210.0,180.0,-14.3,649.0,177.0,-72.7
HafenCity,1247.0,1315.0,5.5,8.0,11.0,37.5,3.0,2.0,-33.3,67.0,72.0,7.5,12.0,22.0,83.3,21.0,37.0,76.2,764.0,828.0,8.4,8.0,8.0,0.0,15.0,19.0,26.7,75.0,92.0,22.7,150.0,137.0,-8.7,32.0,61.0,90.6,147.0,70.0,-52.4,124.0,100.0,-19.4,2.0,16.0,700.0,18.0,9.0,-50.0
Neustadt,4960.0,4256.0,-14.2,42.0,57.0,35.7,19.0,35.0,84.2,421.0,380.0,-9.7,122.0,119.0,-2.5,176.0,180.0,2.3,2305.0,1835.0,-20.4,17.0,26.0,52.9,35.0,15.0,-57.1,269.0,206.0,-23.4,349.0,254.0,-27.2,338.0,277.0,-18.0,521.0,388.0,-25.5,292.0,280.0,-4.1,101.0,81.0,-19.8,352.0,138.0,-60.8
St. Pauli,15943.0,14982.0,-6.0,277.0,387.0,39.7,193.0,272.0,40.9,2878.0,2975.0,3.4,910.0,998.0,9.7,1210.0,1410.0,16.5,6516.0,6180.0,-5.2,32.0,40.0,25.0,20.0,22.0,10.0,373.0,320.0,-14.2,506.0,395.0,-21.9,379.0,247.0,-34.8,3155.0,2976.0,-5.7,748.0,604.0,-19.3,620.0,486.0,-21.6,1815.0,1204.0,-33.7
St. Georg,30089.0,30945.0,2.8,465.0,660.0,41.9,328.0,483.0,47.3,2272.0,2474.0,8.9,729.0,800.0,9.7,1207.0,1474.0,22.1,9692.0,9399.0,-3.0,22.0,21.0,-4.5,23.0,34.0,47.8,920.0,889.0,-3.4,572.0,431.0,-24.7,3081.0,3002.0,-2.6,2296.0,2028.0,-11.7,519.0,502.0,-3.3,2599.0,2917.0,12.2,6636.0,5409.0,-18.5
Hammerbrook,3692.0,3006.0,-18.6,32.0,26.0,-18.8,18.0,20.0,11.1,276.0,313.0,13.4,62.0,87.0,40.3,96.0,118.0,22.9,1638.0,1321.0,-19.4,13.0,6.0,-53.8,33.0,18.0,-45.5,615.0,439.0,-28.6,226.0,143.0,-36.7,81.0,41.0,-49.4,60.0,57.0,-5.0,183.0,187.0,2.2,95.0,110.0,15.8,406.0,146.0,-64.0
Borgfelde,914.0,728.0,-20.4,5.0,6.0,20.0,3.0,3.0,0.0,117.0,83.0,-29.1,27.0,18.0,-33.3,38.0,28.0,-26.3,449.0,328.0,-26.9,14.0,21.0,50.0,7.0,6.0,-14.3,144.0,102.0,-29.2,77.0,58.0,-24.7,17.0,5.0,-70.6,5.0,18.0,260.0,90.0,77.0,-14.4,9.0,13.0,44.4,34.0,23.0,-32.4
Hamm,3204.0,3107.0,-3.0,32.0,21.0,-34.4,11.0,9.0,-18.2,378.0,400.0,5.8,75.0,92.0,22.7,114.0,115.0,0.9,1484.0,1377.0,-7.2,76.0,41.0,-46.1,61.0,46.0,-24.6,288.0,240.0,-16.7,255.0,201.0,-21.2,187.0,289.0,54.5,74.0,40.0,-45.9,315.0,307.0,-2.5,35.0,47.0,34.3,105.0,97.0,-7.6
Horn,3076.0,2967.0,-3.5,32.0,29.0,-9.4,13.0,16.0,23.1,451.0,393.0,-12.9,108.0,84.0,-22.2,144.0,120.0,-16.7,1294.0,1243.0,-3.9,73.0,45.0,-38.4,45.0,39.0,-13.3,289.0,253.0,-12.5,101.0,139.0,37.6,144.0,159.0,10.4,91.0,63.0,-30.8,284.0,294.0,3.5,60.0,39.0,-35.0,139.0,99.0,-28.8
Billstedt,7198.0,6420.0,-10.8,59.0,70.0,18.6,29.0,38.0,31.0,958.0,984.0,2.7,247.0,251.0,1.6,322.0,337.0,4.7,3332.0,2588.0,-22.3,141.0,102.0,-27.7,67.0,74.0,10.4,427.0,374.0,-12.4,110.0,122.0,10.9,819.0,719.0,-12.2,509.0,331.0,-35.0,550.0,543.0,-1.3,120.0,121.0,0.8,297.0,172.0,-42.1
Billbrook,648.0,673.0,3.9,1.0,3.0,200.0,0.0,1.0,,87.0,100.0,14.9,20.0,28.0,40.0,22.0,31.0,40.9,306.0,308.0,0.7,3.0,4.0,33.3,19.0,21.0,10.5,102.0,133.0,30.4,9.0,18.0,100.0,6.0,2.0,-66.7,6.0,9.0,50.0,73.0,59.0,-19.2,10.0,13.0,30.0,19.0,11.0,-42.1
Rothenburgsort,1403.0,1351.0,-3.7,13.0,9.0,-30.8,3.0,5.0,66.7,208.0,170.0,-18.3,55.0,42.0,-23.6,70.0,51.0,-27.1,597.0,578.0,-3.2,13.0,6.0,-53.8,20.0,23.0,15.0,167.0,170.0,1.8,33.0,40.0,21.2,111.0,108.0,-2.7,23.0,18.0,-21.7,108.0,108.0,0.0,33.0,24.0,-27.3,32.0,31.0,-3.1
Veddel,883.0,676.0,-23.4,10.0,2.0,-80.0,3.0,2.0,-33.3,76.0,89.0,17.1,17.0,26.0,52.9,28.0,28.0,0.0,160.0,186.0,16.3,3.0,5.0,66.7,6.0,6.0,0.0,50.0,49.0,-2.0,13.0,32.0,146.2,7.0,2.0,-71.4,10.0,19.0,90.0,49.0,64.0,30.6,24.0,33.0,37.5,26.0,17.0,-34.6
Wilhelmsburg,5280.0,5211.0,-1.3,52.0,27.0,-48.1,26.0,15.0,-42.3,644.0,740.0,14.9,166.0,219.0,31.9,226.0,259.0,14.6,2002.0,2016.0,0.7,37.0,77.0,108.1,30.0,41.0,36.7,345.0,380.0,10.1,233.0,254.0,9.0,501.0,274.0,-45.3,127.0,160.0,26.0,475.0,443.0,-6.7,116.0,100.0,-13.8,195.0,123.0,-36.9
Kleiner Grasbrook,205.0,214.0,4.4,1.0,1.0,0.0,0.0,1.0,,33.0,28.0,-15.2,9.0,9.0,0.0,10.0,13.0,30.0,63.0,65.0,3.2,0.0,1.0,,0.0,2.0,,26.0,21.0,-19.2,9.0,13.0,44.4,0.0,0.0,,1.0,2.0,100.0,26.0,38.0,46.2,20.0,25.0,25.0,10.0,10.0,0.0
Steinwerder,119.0,106.0,-10.9,0.0,0.0,,0.0,0.0,,13.0,13.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,40.0,38.0,-5.0,0.0,1.0,,1.0,1.0,0.0,9.0,7.0,-22.2,2.0,0.0,-100.0,1.0,0.0,-100.0,5.0,1.0,-80.0,9.0,13.0,44.4,1.0,12.0,1100.0,7.0,3.0,-57.1
Waltershof,110.0,106.0,-3.6,0.0,0.0,,0.0,0.0,,16.0,19.0,18.8,2.0,0.0,-100.0,2.0,0.0,-100.0,30.0,29.0,-3.3,0.0,0.0,,0.0,2.0,,15.0,4.0,-73.3,2.0,0.0,-100.0,1.0,0.0,-100.0,1.0,0.0,-100.0,10.0,10.0,0.0,4.0,4.0,0.0,11.0,6.0,-45.5
Finkenwerder,694.0,673.0,-3.0,7.0,2.0,-71.4,2.0,0.0,-100.0,100.0,99.0,-1.0,19.0,22.0,15.8,27.0,25.0,-7.4,211.0,230.0,9.0,5.0,9.0,80.0,2.0,0.0,-100.0,20.0,10.0,-50.0,48.0,55.0,14.6,58.0,43.0,-25.9,5.0,8.0,60.0,59.0,61.0,3.4,5.0,6.0,20.0,12.0,8.0,-33.3
Insel Neuwerk,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Altona-Altstadt,4144.0,4039.0,-2.5,54.0,45.0,-16.7,30.0,29.0,-3.3,353.0,392.0,11.0,90.0,99.0,10.0,150.0,149.0,-0.7,1911.0,1782.0,-6.8,34.0,44.0,29.4,12.0,18.0,50.0,227.0,189.0,-16.7,363.0,342.0,-5.8,394.0,373.0,-5.3,223.0,226.0,1.3,319.0,344.0,7.8,73.0,72.0,-1.4,589.0,500.0,-15.1
Sternschanze,2088.0,1774.0,-15.0,21.0,13.0,-38.1,14.0,5.0,-64.3,178.0,159.0,-10.7,54.0,55.0,1.9,77.0,69.0,-10.4,775.0,753.0,-2.8,7.0,8.0,14.3,3.0,6.0,100.0,46.0,32.0,-30.4,152.0,170.0,11.8,32.0,41.0,28.1,251.0,222.0,-11.6,133.0,158.0,18.8,44.0,44.0,0.0,625.0,347.0,-44.5
Altona-Nord,4226.0,4417.0,4.5,26.0,42.0,61.5,7.0,24.0,242.9,414.0,371.0,-10.4,91.0,85.0,-6.6,119.0,130.0,9.2,2109.0,2263.0,7.3,18.0,15.0,-16.7,17.0,18.0,5.9,190.0,166.0,-12.6,352.0,332.0,-5.7,757.0,945.0,24.8,207.0,219.0,5.8,389.0,311.0,-20.1,82.0,100.0,22.0,233.0,165.0,-29.2
Ottensen,2696.0,2994.0,11.1,25.0,33.0,32.0,14.0,10.0,-28.6,200.0,254.0,27.0,53.0,56.0,5.7,79.0,92.0,16.5,1511.0,1718.0,13.7,36.0,29.0,-19.4,10.0,13.0,30.0,123.0,156.0,26.8,392.0,371.0,-5.4,409.0,574.0,40.3,110.0,153.0,39.1,305.0,335.0,9.8,24.0,29.0,20.8,110.0,51.0,-53.6
Bahrenfeld,3235.0,3098.0,-4.2,20.0,24.0,20.0,9.0,12.0,33.3,429.0,407.0,-5.1,117.0,109.0,-6.8,143.0,138.0,-3.5,1362.0,1373.0,0.8,41.0,43.0,4.9,26.0,38.0,46.2,230.0,192.0,-16.5,295.0,319.0,8.1,180.0,118.0,-34.4,108.0,106.0,-1.9,260.0,358.0,37.7,28.0,43.0,53.6,177.0,59.0,-66.7
Groß Flottbek,522.0,423.0,-19.0,3.0,2.0,-33.3,2.0,1.0,-50.0,37.0,37.0,0.0,11.0,5.0,-54.5,14.0,7.0,-50.0,267.0,225.0,-15.7,24.0,28.0,16.7,8.0,15.0,87.5,44.0,29.0,-34.1,51.0,38.0,-25.5,27.0,25.0,-7.4,30.0,19.0,-36.7,45.0,43.0,-4.4,9.0,1.0,-88.9,7.0,1.0,-85.7
Othmarschen,1030.0,1093.0,6.1,5.0,7.0,40.0,1.0,4.0,300.0,99.0,78.0,-21.2,20.0,18.0,-10.0,26.0,27.0,3.8,555.0,665.0,19.8,42.0,38.0,-9.5,14.0,21.0,50.0,100.0,109.0,9.0,180.0,166.0,-7.8,19.0,17.0,-10.5,22.0,30.0,36.4,93.0,108.0,16.1,3.0,7.0,133.3,20.0,8.0,-60.0
Lurup,2114.0,2227.0,5.3,11.0,21.0,90.9,3.0,6.0,100.0,250.0,319.0,27.6,43.0,82.0,90.7,56.0,114.0,103.6,911.0,896.0,-1.6,59.0,40.0,-32.2,28.0,33.0,17.9,170.0,148.0,-12.9,99.0,67.0,-32.3,185.0,150.0,-18.9,55.0,91.0,65.5,318.0,242.0,-23.9,9.0,23.0,155.6,50.0,33.0,-34.0
Osdorf,2030.0,1857.0,-8.5,10.0,13.0,30.0,4.0,6.0,50.0,190.0,217.0,14.2,37.0,50.0,35.1,49.0,68.0,38.8,1054.0,877.0,-16.8,40.0,23.0,-42.5,22.0,17.0,-22.7,106.0,93.0,-12.3,120.0,102.0,-15.0,298.0,237.0,-20.5,174.0,170.0,-2.3,193.0,154.0,-20.2,15.0,14.0,-6.7,55.0,27.0,-50.9
Nienstedten,297.0,303.0,2.0,1.0,5.0,400.0,1.0,3.0,200.0,26.0,21.0,-19.2,7.0,6.0,-14.3,8.0,11.0,37.5,171.0,177.0,3.5,13.0,11.0,-15.4,7.0,7.0,0.0,39.0,25.0,-35.9,58.0,60.0,3.4,0.0,1.0,,7.0,6.0,-14.3,27.0,32.0,18.5,0.0,1.0,,3.0,3.0,0.0
Blankenese,829.0,703.0,-15.2,4.0,6.0,50.0,1.0,4.0,300.0,59.0,60.0,1.7,18.0,19.0,5.6,23.0,27.0,17.4,385.0,335.0,-13.0,64.0,43.0,-32.8,6.0,10.0,66.7,52.0,57.0,9.6,92.0,69.0,-25.0,23.0,25.0,8.7,44.0,29.0,-34.1,166.0,95.0,-42.8,8.0,14.0,75.0,14.0,2.0,-85.7
Iserbrook,401.0,407.0,1.5,1.0,3.0,200.0,1.0,3.0,200.0,47.0,50.0,6.4,8.0,8.0,0.0,10.0,13.0,30.0,167.0,141.0,-15.6,38.0,27.0,-28.9,1.0,11.0,1000.0,20.0,18.0,-10.0,31.0,21.0,-32.3,3.0,4.0,33.3,14.0,16.0,14.3,69.0,74.0,7.2,4.0,2.0,-50.0,6.0,1.0,-83.3
Sülldorf,505.0,403.0,-20.2,2.0,1.0,-50.0,0.0,0.0,,81.0,55.0,-32.1,22.0,10.0,-54.5,25.0,11.0,-56.0,189.0,154.0,-18.5,35.0,13.0,-62.9,3.0,6.0,100.0,27.0,28.0,3.7,37.0,24.0,-35.1,13.0,12.0,-7.7,10.0,12.0,20.0,72.0,47.0,-34.7,2.0,2.0,0.0,14.0,2.0,-85.7
Rissen,864.0,773.0,-10.5,3.0,5.0,66.7,1.0,3.0,200.0,79.0,89.0,12.7,17.0,19.0,11.8,21.0,24.0,14.3,383.0,346.0,-9.7,37.0,40.0,8.1,5.0,1.0,-80.0,51.0,38.0,-25.5,103.0,77.0,-25.2,42.0,42.0,0.0,13.0,17.0,30.8,188.0,97.0,-48.4,3.0,3.0,0.0,14.0,6.0,-57.1
Eimsbüttel,3932.0,4159.0,5.8,23.0,23.0,0.0,12.0,11.0,-8.3,289.0,287.0,-0.7,63.0,62.0,-1.6,93.0,95.0,2.2,1934.0,2216.0,14.6,76.0,51.0,-32.9,24.0,30.0,25.0,167.0,226.0,35.3,647.0,785.0,21.3,231.0,305.0,32.0,155.0,191.0,23.2,417.0,453.0,8.6,41.0,39.0,-4.9,273.0,84.0,-69.2
Rotherbaum,1716.0,1713.0,-0.2,9.0,13.0,44.4,4.0,5.0,25.0,112.0,103.0,-8.0,26.0,23.0,-11.5,37.0,42.0,13.5,893.0,997.0,11.6,14.0,27.0,92.9,7.0,26.0,271.4,114.0,156.0,36.8,254.0,265.0,4.3,92.0,92.0,0.0,64.0,77.0,20.3,122.0,151.0,23.8,21.0,25.0,19.0,36.0,24.0,-33.3
Harvestehude,1362.0,1438.0,5.6,12.0,7.0,-41.7,7.0,5.0,-28.6,109.0,105.0,-3.7,24.0,26.0,8.3,39.0,34.0,-12.8,739.0,838.0,13.4,36.0,58.0,61.1,22.0,27.0,22.7,140.0,191.0,36.4,219.0,204.0,-6.8,25.0,48.0,92.0,63.0,81.0,28.6,128.0,151.0,18.0,11.0,8.0,-27.3,30.0,13.0,-56.7
Hoheluft-West,695.0,719.0,3.5,7.0,2.0,-71.4,4.0,0.0,-100.0,53.0,47.0,-11.3,10.0,13.0,30.0,18.0,15.0,-16.7,346.0,380.0,9.8,34.0,13.0,-61.8,1.0,5.0,400.0,25.0,31.0,24.0,133.0,140.0,5.3,11.0,21.0,90.9,41.0,52.0,26.8,69.0,63.0,-8.7,6.0,3.0,-50.0,32.0,12.0,-62.5
Lokstedt,1710.0,1532.0,-10.4,10.0,14.0,40.0,3.0,9.0,200.0,141.0,124.0,-12.1,33.0,34.0,3.0,43.0,50.0,16.3,885.0,776.0,-12.3,59.0,43.0,-27.1,13.0,18.0,38.5,122.0,154.0,26.2,246.0,211.0,-14.2,52.0,55.0,5.8,40.0,54.0,35.0,207.0,194.0,-6.3,10.0,12.0,20.0,38.0,21.0,-44.7
Niendorf,2772.0,2619.0,-5.5,22.0,18.0,-18.2,7.0,12.0,71.4,278.0,308.0,10.8,75.0,95.0,26.7,101.0,115.0,13.9,1438.0,1292.0,-10.2,62.0,69.0,11.3,14.0,36.0,157.1,145.0,109.0,-24.8,220.0,168.0,-23.6,449.0,323.0,-28.1,118.0,158.0,33.9,340.0,306.0,-10.0,22.0,21.0,-4.5,49.0,34.0,-30.6
Schnelsen,1403.0,1461.0,4.1,9.0,11.0,22.2,3.0,7.0,133.3,188.0,235.0,25.0,49.0,52.0,6.1,61.0,65.0,6.6,536.0,540.0,0.7,51.0,47.0,-7.8,15.0,21.0,40.0,58.0,84.0,44.8,94.0,75.0,-20.2,59.0,66.0,11.9,34.0,53.0,55.9,184.0,192.0,4.3,14.0,8.0,-42.9,66.0,23.0,-65.2
Eidelstedt,2650.0,2631.0,-0.7,17.0,15.0,-11.8,10.0,8.0,-20.0,301.0,343.0,14.0,78.0,82.0,5.1,100.0,101.0,1.0,1242.0,1344.0,8.2,61.0,24.0,-60.7,15.0,19.0,26.7,143.0,127.0,-11.2,139.0,153.0,10.1,357.0,319.0,-10.6,96.0,211.0,119.8,329.0,258.0,-21.6,20.0,10.0,-50.0,120.0,37.0,-69.2
Stellingen,2352.0,2262.0,-3.8,32.0,19.0,-40.6,11.0,11.0,0.0,244.0,231.0,-5.3,55.0,61.0,10.9,94.0,82.0,-12.8,1127.0,1093.0,-3.0,37.0,33.0,-10.8,12.0,24.0,100.0,222.0,252.0,13.5,255.0,202.0,-20.8,155.0,118.0,-23.9,42.0,61.0,45.2,250.0,261.0,4.4,24.0,21.0,-12.5,67.0,39.0,-41.8
Hoheluft-Ost,653.0,628.0,-3.8,5.0,5.0,0.0,2.0,3.0,50.0,42.0,37.0,-11.9,11.0,8.0,-27.3,16.0,15.0,-6.3,384.0,407.0,6.0,13.0,15.0,15.4,2.0,10.0,400.0,36.0,48.0,33.3,94.0,104.0,10.6,83.0,52.0,-37.3,28.0,45.0,60.7,38.0,43.0,13.2,1.0,0.0,-100.0,15.0,2.0,-86.7
Eppendorf,2122.0,2108.0,-0.7,23.0,17.0,-26.1,13.0,8.0,-38.5,109.0,137.0,25.7,21.0,45.0,114.3,50.0,65.0,30.0,1260.0,1231.0,-2.3,37.0,39.0,5.4,33.0,34.0,3.0,125.0,233.0,86.4,370.0,287.0,-22.4,119.0,93.0,-21.8,100.0,132.0,32.0,192.0,195.0,1.6,8.0,9.0,12.5,46.0,29.0,-37.0
Groß Borstel,709.0,812.0,14.5,6.0,7.0,16.7,2.0,3.0,50.0,81.0,69.0,-14.8,20.0,20.0,0.0,27.0,31.0,14.8,338.0,426.0,26.0,13.0,14.0,7.7,7.0,12.0,71.4,64.0,102.0,59.4,44.0,60.0,36.4,17.0,14.0,-17.6,12.0,18.0,50.0,90.0,115.0,27.8,1.0,2.0,100.0,12.0,5.0,-58.3
Alsterdorf,1221.0,1254.0,2.7,32.0,35.0,9.4,19.0,21.0,10.5,173.0,259.0,49.7,43.0,68.0,58.1,77.0,106.0,37.7,502.0,515.0,2.6,25.0,43.0,72.0,21.0,36.0,71.4,70.0,84.0,20.0,94.0,52.0,-44.7,111.0,62.0,-44.1,18.0,18.0,0.0,157.0,141.0,-10.2,5.0,9.0,80.0,29.0,22.0,-24.1
