Stadtbezirk;Stadtteil;Schulart;Schulname;Lage;Aufnahmekapazitaet_2026_2027_Klassen;Aufnahmekapazitaet_2026_2027_Kapazitaet;Schuljahr_2026_2027_Summe_Anmeldungen_Stand_09_10_2025;Schuljahr_2025_2024_Summe_Anmeldungen_Stand_07_11_2024
1;Altstadt;KG;Max-Schule;Citadellstrasse_2B;1;29;25;29
1;Derendorf;KG;Thomas-Schule;Blumenthalstrasse_11;2;58;55;47
1;Derendorf;KG;KGS Essener Strasse;Essener_Strasse_1;3;87;39;54
1;Pempelfort;GG;Matthias-Claudius-Schule;Ehrenstrasse,_Eingang:_Bongardstrasse_9;4;116;114;121
1;Pempelfort;KG;St.-Rochus-Schule;Bluecherstrasse_12;3;87;73;88
1;Pempelfort;GG;GGS Lennéstrasse;Lennéstrasse_5;2;58;29;41
1;Golzheim;GG;GGS Rolandstrasse;Rolandstrasse_40;4;116;91;79
1;Stadtmitte;KG;Paul-Klee-Schule;Gerresheimer_Strasse_34;2;58;36;43
2;Duesseltal;KG;Carl-Sonnenschein-Schule;Graf-Recke-Strasse_153;4;116;95;111
2;Duesseltal;EG;Brehm-Schule;Karl-Mueller-Strasse_25;4;116;142;145
2;Duesseltal;KG;Paulusschule;Paulusplatz_1_;3;87;85;104
2;Flingern-Nord;GG;GGS Flurstrasse;Flurstrasse_59;3;87;40;54
2;Flingern-Nord;MG;MGS Lindenstrasse;Lindenstrasse_102;4;116;119;106
2;Flingern-Sued;KG;KGS Mettmanner Str. ;Hubbelrather_Strasse_13;3;87;46;35
3;Hamm;KG;KGS Florensstrasse;Heinsenstrasse_21;2;58;51;42
3;Flehe;KG;Fleher-Schule;Fleher_Strasse_213;3;87;85;77
3;Bilk;KG;Bonifatius-Schule;Fleher_Strasse_70;3;87;51;57
3;Bilk;GG;Sternwartschule;Im_Dahlacker_15;3;87;70;61
3;Bilk;EG;Martin-Luther-Schule;Gotenstrasse_20;2;58;69;65
3;Friedrichstadt;GG;GGS Helmholtzstrasse;Helmholtzstrasse_16;3;87;54;60
3;Friedrichstadt;KG;St.-Peter-Schule;Jahnstrasse_97;3;87;30;22
3;Friedrichstadt;GG;Regenbogenschule;Kirchfeldstrasse_74-80;3;87;73;66
3;Unterbilk;GG;GGS Konkordiastrasse;Konkordiastrasse_26;2;58;44;34
3;Unterbilk;GG;GGS Kronprinzenstrasse;Kronprinzenstrasse_107;3;87;110;108
3;Oberbilk;KG;KGS Hoehenstrasse;Hoehenstrasse_5;2;58;64;50
3;Oberbilk;GG;GGS Sonnenstrasse;Sonnenstrasse_10;3;87;58;69
3;Oberbilk;GG;GGS Stoffeler Strasse;Stoffeler_Strasse_11;3;87;48;44
4;Heerdt;GG;Heinrich-Heine-Schule;Heerdter_Landstrasse_186_einschliesslich_kath._Teilstandort_Pestalozzistrasse_30;3;87;76;75
4;Loerick;GG;GGS Loerick;Wickrather_Strasse_31;4;116;105;106
4;Niederkassel;KG;KGS Niederkassel;Niederkasseler_Strasse_36;2;58;51;44
4;Oberkassel;EG;Friedrich-von-Bodelschwingh;Cimbernstrasse_24;4;116;107;119
4;Oberkassel;GG;Don-Bosco-Montessori;Salierstrasse_37_;2;58;65;56
5;Angermund;GG;Friedrich-von-Spee-Schule;Am_Litzgraben_28A;4;116;100;69
5;Kaiserswerth;GG;GGS Kaiserswerth;Fliednerstrasse_32;4;116;61;61
5;Lohausen;KG;KGS Lohausen;Im_Grund_78;1;29;15;24
5;Stockum;GG;Beckbusch-Schule;Beckbuschstrasse_2;3;87;53;43
5;Stockum;MG;MGS Freiligrathplatz;Farnweg_10;3;87;92;82
5;Wittlaer;KG;Franz-Vaahsen-Schule;Grenzweg_12_;3;87;79;85
6;Lichtenbroich;GG;GGS Krahnenburgstrasse;Krahnenburgstrasse_15;3;87;60;56
6;Moersenbroich;KG;St.-Franziskus-Schule;Herchenbachstrasse_2_;3;87;79;79
6;Moersenbroich;GG;GGS Max-Halbe-Strasse;Max-Halbe-Strasse_14;3;87;39;28
6;Moersenbroich;GG;GGS Wrangelstrasse;Wrangelstrasse_40;3;87;55;49
6;Rath;KG;KGS Rather Kreuzweg;Rather_Kreuzweg_21;2;58;40;55
6;Rath;GG;Joachim-Neander-Schule;Rather_Markt_2;3;87;66;79
6;Unterrath;EG;Elsa-Brandstroem-Schule;An_der_Golzheimer_Heide_120;2;58;63;60
6;Unterrath;KG;St. Bruno-Schule;An_der_Golzheimer_Heide_120;2;58;41;54
6;Unterrath;GG;GGS Unterrath;Beedstrasse_31;1;29;11;15
6;Unterrath;KG;Kartause-Hain-Schule;Unterrather_Strasse_76;2;58;65;55
7;Gerresheim;EG;Hanna-Zuerndorfer-Schule;Benderstrasse_78_einschliesslich_Teilstandort_Unter_den_Eichen_95;2;58;46;51
7;Gerresheim;KG;KGS Unter den Eichen;Unter_den_Eichen_26;4;116;107;85
7;Gerresheim;GG;Aloys-Odenthal-Schule;Diepenstrasse_24;3;87;87;71
7;Gerresheim;GG;Ferdinand-Heye-Schule;Heyestrasse_91;2;58;33;28
7;Grafenberg_Gerresheim;GG;Gutenberg-Schule;Grafenberger_Allee_384_einschliesslich_Teilstandort_Diepenstrasse_24;4;116;84;103
7;Knittkuhl;GG;GGS Knittkuhl;Am_Mergelsberg_1;3;87;55;66
8;Eller;GG;GGS Bingener Weg;Bingener_Weg_10;2;58;54;49
8;Eller;GG;GGS Deutzer Strasse;Deutzer_Strasse_102;2;58;39;43
8;Eller;KG;KGS Fuldaer Strasse;Fuldaer_Strasse_33;2;58;61;46
8;Eller;GG;Astrid-Lindgren-Schule;Leuthenstrasse_50;3;87;47;58
8;Eller;GG;Gumbertschule;Gumbertstrasse_191_;2;58;31;34
8;Eller;GG;GGS Richardstrasse;Richardstrasse_14;3;87;67;73
8;Lierenfeld;KG;St. Michael-Schule;Kempgensweg_65_;2;58;34;32
8;Unterbach;KG;Carl-Sonnenschein-Schule;Gerresheimer_Landstrasse_89;2;58;54;55
8;Unterbach;GG;Wichern-Schule;Brorsstrasse_5;2;58;44;54
8;Vennhausen;GG;Volker Rosin Schule;Arnstadter_Weg_6-16;3;87;79;86
8;Vennhausen;KG;Franz-Boehm-Schule;Kamper_Weg_291;2;58;25;23
8;Vennhausen;GG;GGS Vennhauser Allee;Vennhauser_Allee_160-162;2;58;41;39
9;Benrath;KG;KGS Einsiedelstrasse;Einsiedelstrasse_25;2;58;63;57
9;Benrath;KG;St.-Caecilia-Schule;Erich-Mueller-Strasse_31;2;58;67;55
9;Benrath;GG;Grundschule Schloss Benrath;Erich-Mueller-Strasse_31;2;58;40;51
9;Reisholz;KG;St.-Elisabeth-Schule;Buchenstrasse_16;3;87;43;42
9;Hassels;GG;GGS Am Koehnen;Am_Koehnen_73;2;58;31;44
9;Hassels;KG;Hermann-Gmeiner-Schule;Schillstrasse_7;2;58;32;27
9;Hassels;GG;Selma Lagerloef Schule;Schillstrasse_7;2;58;57;54
9;Himmelgeist;GG;Steinkaul;Steinkaul_27;3;87;73;70
9;Holthausen;KG;St. Apollinaris Schule;Itterstrasse_16;2;58;45;35
9;Holthausen;GG;Adolf-Klarenbach-Schule;Walther-Rathenau-Strasse_15;3;87;45;61
9;Urdenbach;GG;GGS Garather Strasse;Garather_Strasse_16_einschliesslich_Teilstandort_Urdenbacher_Allee_91;3;87;82;79
9;Urdenbach;GG;GGS Suedallee;Suedallee_100;3;87;53;42
9;Wersten;GG;Theodor-Heuss-Schule;Luetzenkircher_Strasse_2;3;87;22;39
9;Wersten;KG;Christophorus-Schule;Werstener_Friedhofsstrasse_10;2;58;48;67
9;Wersten;GG;Henri-Dunant-Schule;Rheindorfer_Weg_20;2;58;52;54
9;Wersten;KG;Marien-Schule;Rheindorfer_Weg_20;3;87;109;91
10;Garath;GG;GGS Adam-Stegerwald-Strasse;Adam-Stegerwald-Strasse_14;2;58;43;34
10;Garath;MG;MGS Emil-Barth-Strasse;Emil-Barth-Strasse_45;3;87;60;59
10;Garath;KG;KGS Josef-Kleesattel-Strasse;Josef-Kleesattel-Strasse_13;2;58;43;23
10;Garath;GG;GGS Neustrelitzer Strasse;Neustrelitzer_Strasse_10;2;58;44;45
10;Garath_Hellerhof;GG;Willi-Faehrmann-Schule;Ricarda-Huch-Strasse_1_einschliesslich_Teilstandort_Ingeborg-Bachmann-Strasse_31;3;87;64;75